시군,연월,체험문화,체험문화_유원제외,관광총소비,방문
강동구,202103,964833000.0,964833000.0,54125899000.0,4460777.0
강동구,202104,824478000.0,824478000.0,53309817000.0,3924711.0
강동구,202105,889174000.0,889174000.0,56073260000.0,4158765.0
강동구,202106,824493000.0,824364000.0,54135171000.0,3958671.0
강동구,202107,800532000.0,800532000.0,52576850000.0,3767389.0
강동구,202108,737219000.0,737219000.0,50473533000.0,3721663.0
강동구,202109,757447000.0,757447000.0,55426749000.0,4129750.0
강동구,202110,952933000.0,952933000.0,59199651000.0,4170798.0
강동구,202111,1146164000.0,1146164000.0,58992853000.0,4081667.0
강동구,202112,949686000.0,949686000.0,57790128000.0,3978294.0
강동구,202201,817065000.0,817065000.0,56425146000.0,3847755.0
강동구,202202,680437000.0,680437000.0,43341226000.0,3304446.0
강동구,202203,916372000.0,916372000.0,54744632000.0,4031014.0
강동구,202204,1150840000.0,1150840000.0,61028341000.0,4360222.0
강동구,202205,1555863000.0,1555863000.0,67667026000.0,4560285.0
강동구,202206,1400235000.0,1400235000.0,61181085000.0,4147955.0
강동구,202207,1495199000.0,1495199000.0,64349124000.0,4317294.0
강동구,202208,1385450000.0,1385450000.0,61367794000.0,4101256.0
강동구,202209,1321761000.0,1321761000.0,61315860000.0,4299101.0
강동구,202210,1455505000.0,1455505000.0,66632662000.0,4364469.0
강동구,202211,1215884000.0,1215884000.0,61411303000.0,4122262.0
강동구,202212,1582495000.0,1582495000.0,67135963000.0,4097062.0
강동구,202301,1477065000.0,1477065000.0,60718908000.0,3994413.0
강동구,202302,1421104000.0,1421104000.0,56783299000.0,3887949.0
강동구,202303,1380003000.0,1380003000.0,63863342000.0,4483667.0
강동구,202304,1385821000.0,1385821000.0,63536120000.0,3976918.0
강동구,202305,1486391000.0,1486391000.0,66585579000.0,4395248.0
강동구,202306,1442954000.0,1442954000.0,62344322000.0,4131079.0
강동구,202307,1520963000.0,1520963000.0,63859223000.0,4213103.0
강동구,202308,1570444000.0,1570444000.0,62742981000.0,4219341.0
강동구,202309,1494243000.0,1494243000.0,66977456000.0,4213752.0
강동구,202310,1421916000.0,1421916000.0,63833840000.0,4264657.0
강동구,202311,1347106000.0,1347106000.0,61430579000.0,4012435.0
강동구,202312,1864109000.0,1864109000.0,68250638000.0,4217568.0
강동구,202401,1690645000.0,1690645000.0,60592174000.0,4039722.0
강동구,202402,1808943000.0,1808943000.0,59267806000.0,3975718.0
강동구,202403,1810925000.0,1810925000.0,68680847000.0,4694703.0
강동구,202404,1554864000.0,1554864000.0,64040019000.0,4154447.0
강동구,202405,1685531000.0,1685531000.0,67456649000.0,4404392.0
강동구,202406,1766672000.0,1766672000.0,64755642000.0,4198510.0
강동구,202407,1756629000.0,1756629000.0,63644212000.0,4272783.0
강동구,202408,1772571000.0,1772571000.0,65600843000.0,4352213.0
강동구,202501,1699172000.0,1699172000.0,63364275000.0,4399012.0
강동구,202502,1463098000.0,1463098000.0,57862935000.0,4237477.0
강동구,202503,1653755000.0,1653755000.0,68925336000.0,5013295.0
강동구,202504,1317222000.0,1317222000.0,65066969000.0,4500687.0
강동구,202505,1546274000.0,1546274000.0,73142114000.0,5405721.0
강동구,202506,1687851000.0,1687851000.0,65603060000.0,4822151.0
강동구,202507,1792134000.0,1792134000.0,71769881000.0,4987171.0
강동구,202508,1874132000.0,1874132000.0,71391368000.0,4880376.0
강동구,202509,1535022000.0,1535022000.0,65905924000.0,4733936.0
강동구,202510,1845927000.0,1845927000.0,72193289000.0,4917713.0
강동구,202511,1684196000.0,1684196000.0,70606125000.0,4874974.0
강동구,202512,1950740000.0,1950740000.0,74847592000.0,4941536.0
강동구,202601,1864146000.0,1864146000.0,70786769000.0,4645133.0
강동구,202602,1765747000.0,1765747000.0,65477935000.0,4444564.0
강동구,202603,1810188000.0,1810188000.0,71682977000.0,5239792.0
강동구,202604,1664993000.0,1664993000.0,69931385000.0,4506969.0
강동구,202605,2070949000.0,2070949000.0,76123854000.0,4987387.0
강동구,202606,1762159000.0,1762159000.0,71077927000.0,4716371.0
강동구,202607,1930848000.0,1930848000.0,73329256000.0,4833869.0
강동구,202608,1856143000.0,1856143000.0,71976259000.0,4871129.0
강릉시,201901,1185950000.0,828632000.0,48064520000.0,2529722.0
강릉시,201902,1230041000.0,835833000.0,49242339000.0,2541596.0
강릉시,201903,1156390000.0,864084000.0,48288634000.0,2735350.0
강릉시,201904,969912000.0,725203000.0,39717422000.0,2015462.0
강릉시,201905,1274999000.0,905466000.0,48985312000.0,2294427.0
강릉시,201906,1438580000.0,929807000.0,51505509000.0,2495856.0
강릉시,201907,1761483000.0,976760000.0,57612532000.0,2886280.0
강릉시,201908,2271293000.0,1257973000.0,82049112000.0,4343024.0
강릉시,201909,1264190000.0,844220000.0,46431358000.0,2752343.0
강릉시,201910,1404319000.0,881917000.0,50120171000.0,2476660.0
강릉시,201911,1147883000.0,799895000.0,46478902000.0,2429408.0
강릉시,201912,1394159000.0,856247000.0,54979429000.0,2637785.0
강릉시,202001,1327941000.0,935428000.0,54911058000.0,3223308.0
강릉시,202002,879266000.0,607040000.0,38184475000.0,1931524.0
강릉시,202003,713145000.0,512004000.0,35764326000.0,1956155.0
강릉시,202004,930104000.0,672628000.0,41972322000.0,2138132.0
강릉시,202005,1486059000.0,945118000.0,55855592000.0,2773554.0
