SGG_CD,SGG_NM,BASE_YM,PRE_BASE_YM,TOU_NUM,PREV_TOU_NUM,TOU_NUM_PER
11620,서울특별시 관악구,202408,202308,5307155.0,,
11620,서울특별시 관악구,202409,202309,5465222.0,,
11620,서울특별시 관악구,202410,202310,5582528.0,,
11620,서울특별시 관악구,202411,202311,5165076.0,,
11620,서울특별시 관악구,202412,202312,5433606.0,,
11620,서울특별시 관악구,202501,202401,5092846.0,,
11620,서울특별시 관악구,202502,202402,4925767.0,,
11620,서울특별시 관악구,202503,202403,6193810.0,,
11620,서울특별시 관악구,202504,202404,5196944.0,,
11620,서울특별시 관악구,202505,202405,6209903.0,,
11620,서울특별시 관악구,202506,202406,5559624.0,,
11620,서울특별시 관악구,202507,202407,5917776.0,,
11620,서울특별시 관악구,202508,202408,5744767.0,,
11620,서울특별시 관악구,202509,202409,5949744.0,,
11620,서울특별시 관악구,202510,202410,5645840.0,,
11620,서울특별시 관악구,202511,202411,5936686.0,,
11620,서울특별시 관악구,202512,202412,5887970.0,,
11620,서울특별시 관악구,202601,202501,5614749.0,,
11620,서울특별시 관악구,202602,202502,5450305.0,,
11620,서울특별시 관악구,202603,202503,6865366.0,,
