,방문25(만),방문%19-25,방문당소비25,방문당소비%19-25,방문당소비%24-26,방문%24-26,체류시간25,체류%19-25,숙박객비중25,숙박객비중p19-25,숙박소비%,체험소비%,외식소비%,대표축제,축제방문,축제외지인비율,축제수,숙박객체류%19-25,잠재개선액(억),문제,해결가능,종합,기본순위,상위10빈도%,최악순위
태백시,548.4126,4.020003854190213,17071.418490384793,9.27452052995461,0.7710257638961604,-0.6111283710568349,28.869837648068497,-30.839857319067253,16.417783340933394,-0.4267692063050603,2.3263030270403875,0.7461519917207327,34.250689022141316,,,,,-31.098710693817978,0.0,52.42424242424242,17.777777777777775,35.1010101010101,59.0,0.0,63.0
태안군,1808.9374,22.770559809011527,14366.03417011556,9.033936631572193,4.54630794628208,6.116533942331981,23.968948260973303,-15.897873247165862,24.205209873870555,-6.082679470702551,6.372933210552642,1.159277047963874,31.174562039667403,,,,,8.151580861698449,0.0,53.333333333333336,50.101010101010104,51.71717171717172,27.0,0.0,49.0
통영시,1634.2886,0.3112906383864189,12589.056363729149,14.031999826901377,7.375117682962151,3.803019294484344,26.232673514679057,-0.2535318835544475,20.13321904190287,-0.4885049998961968,5.795632017151541,1.0440357751233218,41.98256770863739,통영한산대첩축제,124718.0,43.08,1.0,3.7020135343663663,235.45083334463135,40.90909090909091,60.80808080808082,50.85858585858586,30.0,0.0,47.0
평창군,1745.0406,24.185578610915925,17949.612003296657,-6.210123542431612,-0.2377092252629276,0.7207980925776347,22.77218898146333,-10.7260091861204,21.549921580053724,-3.381397663171093,24.55779267025146,2.361334426862588,34.06631438081096,평창송어축제,485684.0,60.91,2.0,3.532860503788493,0.0,61.21212121212121,59.1919191919192,60.20202020202021,13.0,33.33333333333333,33.0
포천시,2826.7068,8.654249609811227,23672.549094939735,17.384904619100872,0.2981713570251232,7.192004806473218,21.097500569191837,-22.213426869476717,10.054732957763877,-1.4739175133958131,0.7654264050050515,1.4149572888393307,28.996612444209465,,,,,-11.9829779475642,0.0,45.45454545454545,37.17171717171717,41.31313131313131,48.0,0.0,62.0
하동군,782.6679,14.77157730359464,11247.047055334708,3.5584941142261073,11.866534442639054,-0.8875649487019022,16.68466855076009,-4.357364013273668,12.533643618763232,-1.2724509499881744,2.6163373664772296,2.726028677533322,29.105772253333058,하동야생차문화축제,74830.0,85.12,1.0,7.350435579586168,217.7931861805178,44.54545454545455,62.02020202020202,53.282828282828284,21.0,4.166666666666666,41.0
합천군,694.4108,4.3188911603132984,7440.691734633159,24.207650364822307,9.433537886009402,3.1688577163618836,20.023135887017204,0.3362263338851257,12.566393296709212,-1.434738871284326,1.994193148858579,1.2659571847062474,37.845215678494206,,,,,13.998252092965991,457.55128591128533,37.87878787878788,46.46464646464647,42.17171717171718,45.0,0.0,64.0
홍성군,1316.9252,10.765970424731307,14323.765541125646,11.247085437273885,-0.0446982486143276,10.679811727928158,25.100115411847124,0.2466438260733117,11.021990553158028,-1.041603568002186,1.034192386774936,1.1333896238605363,33.11372980540581,,,,,12.176545342556121,0.0,39.39393939393939,42.42424242424242,40.90909090909091,49.0,0.0,63.0
홍천군,2226.4903,42.94337517326301,19510.408376807212,-22.81430308302812,-9.701295978235668,12.630419280547557,15.881302896703096,-39.167244187562275,14.81482453402507,-9.139708959247567,17.297307637811326,0.8219387157863647,23.31822259044628,,,,,-1.7457343390533286,0.0,74.24242424242425,57.77777777777777,66.01010101010101,8.0,58.333333333333336,17.0
횡성군,1143.521,-17.33253060248695,22283.111984825813,68.45728900667136,4.126469366490215,1.0077528616479592,16.818988491472695,-20.695862646424533,12.272612851842684,-1.8287774595625308,8.08862484592321,3.4266870369737004,21.13786174135828,,,,,-11.08074304057558,0.0,40.60606060606061,15.757575757575758,28.181818181818183,64.0,0.0,65.0
