조회_시도,조회기간,DT,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
43,2025,202508,0,현지인,3683613800.5,14677955627.2
43,2025,202509,0,현지인,3478285320.4000015,14321505758.400007
43,2025,202510,0,현지인,4354850144.300001,19274384739.899998
43,2025,202511,0,현지인,4049453094.0,18132769217.0
43,2025,202512,0,현지인,3832003825.0,17099513699.0
43,2025,202501,1,외지인,127837942663.00002,404609342503.50024
43,2025,202502,1,외지인,120990256491.40002,361463623495.1
43,2025,202503,1,외지인,147828142281.30002,449056298852.8999
43,2025,202504,1,외지인,145480711604.5,441070948720.0997
43,2025,202505,1,외지인,164855607531.79993,498277347273.5997
43,2025,202506,1,외지인,148559594820.99994,448332813178.8003
43,2025,202507,1,외지인,157102832240.19998,475112728021.1999
43,2025,202508,1,외지인,158248160089.30002,491594318479.79956
43,2025,202509,1,외지인,147966693509.59998,450540809859.00006
43,2025,202510,1,외지인,161652571553.6,523094260373.0996
43,2025,202511,1,외지인,156862389062.0,501598955135.0
43,2025,202512,1,외지인,150480629593.0,462866287152.0
43,2025,202501,2,외국인,552790092.9999998,1428973722.8
43,2025,202502,2,외국인,551948615.5,1292251558.1999998
43,2025,202503,2,외국인,881053196.7000002,2154365984.4
43,2025,202504,2,외국인,883891646.1,2251396731.7000003
43,2025,202505,2,외국인,951169601.7000003,2423616856.600001
43,2025,202506,2,외국인,864750831.1000003,2215572746.699999
43,2025,202507,2,외국인,848371136.1999999,2145785908.099999
43,2025,202508,2,외국인,791553185.7999995,2018350625.1000013
43,2025,202509,2,외국인,1051934333.3000003,2715386473.4000015
43,2025,202510,2,외국인,1088456981.8,2827566944.7
43,2025,202511,2,외국인,1447040907.8999999,4794016528.799999
43,2025,202512,2,외국인,1035824821.3000001,2507636372.6999993
00,2024_1-8,202401,0,현지인,141777653587.09882,588058389370.9347
00,2024_1-8,202402,0,현지인,145463342339.70087,585128419169.4026
00,2024_1-8,202403,0,현지인,167575036433.9992,673634995722.014
00,2024_1-8,202404,0,현지인,164784657418.095,668463075342.0712
00,2024_1-8,202405,0,현지인,175582577582.49817,696796280762.1544
00,2024_1-8,202406,0,현지인,171166319765.8032,668933746029.6665
00,2024_1-8,202407,0,현지인,155416201722.19702,600192349025.5143
00,2024_1-8,202408,0,현지인,150815385941.70132,584654305541.6982
00,2024_1-8,202401,1,외지인,4071730280995.561,11841274922390.787
00,2024_1-8,202402,1,외지인,4045182311508.3115,11760560365926.45
00,2024_1-8,202403,1,외지인,4596653419634.412,13258210022402.05
00,2024_1-8,202404,1,외지인,4418691566941.589,12768473088876.559
00,2024_1-8,202405,1,외지인,4771288207304.022,13803030659652.867
00,2024_1-8,202406,1,외지인,4605775109485.193,13120754840902.656
00,2024_1-8,202407,1,외지인,4495461989014.07,12745272456120.797
00,2024_1-8,202408,1,외지인,4704239766484.931,13598759454706.295
00,2024_1-8,202401,2,외국인,178712984747.0978,515209153739.20746
00,2024_1-8,202402,2,외국인,168740447790.69867,490874655909.31323
00,2024_1-8,202403,2,외국인,251649813991.0056,720114374838.1853
00,2024_1-8,202404,2,외국인,289797425999.1051,828496830333.2926
00,2024_1-8,202405,2,외국인,281644020184.5001,809518318161.2124
00,2024_1-8,202406,2,외국인,283308009146.7889,819169382607.1495
00,2024_1-8,202407,2,외국인,260370860383.59894,751514209364.9984
00,2024_1-8,202408,2,외국인,272171418524.59955,770609552029.4144
00,2026_1-8,202601,0,현지인,153494435651.40372,660320420571.6691
00,2026_1-8,202602,0,현지인,147603826525.4992,644266972971.7085
00,2026_1-8,202603,0,현지인,155796865549.0,657084431679.6133
00,2026_1-8,202604,0,현지인,154345543684.3039,643947482976.7305
00,2026_1-8,202605,0,현지인,178397750901.99835,747542057877.5222
00,2026_1-8,202606,0,현지인,151113812174.20258,632535329170.4724
00,2026_1-8,202607,0,현지인,145718543432.9987,585521422881.0087
00,2026_1-8,202608,0,현지인,139905254661.9973,577930022761.2206
00,2026_1-8,202601,1,외지인,4289962421175.098,12926603358506.898
00,2026_1-8,202602,1,외지인,4011363772148.963,12349469309876.184
00,2026_1-8,202603,1,외지인,4522247972298.749,13466425591933.52
00,2026_1-8,202604,1,외지인,4452591787393.185,13319305914030.139
00,2026_1-8,202605,1,외지인,4906911802814.832,14802995415963.361
00,2026_1-8,202606,1,외지인,4419070885152.361,13157116247446.36
00,2026_1-8,202607,1,외지인,4627369869957.213,13615764385904.795
00,2026_1-8,202608,1,외지인,4683193311812.067,14133663651013.633
00,2026_1-8,202601,2,외국인,295796628915.4014,885932876374.1891
00,2026_1-8,202602,2,외국인,265774985563.0965,801938090221.0118
00,2026_1-8,202603,2,외국인,442249038052.8083,1335037754887.3804
00,2026_1-8,202604,2,외국인,517183033398.80396,1597129304409.7173
00,2026_1-8,202605,2,외국인,554063606530.0005,1687728506898.5059
00,2026_1-8,202606,2,외국인,531683795613.0968,1638409371336.1052
00,2026_1-8,202607,2,외국인,493071902815.20416,1510219622512.1116
00,2026_1-8,202608,2,외국인,486991141560.59735,1489186161511.4124
00,2025,202501,0,현지인,140767322326.9023,605594576157.0686
00,2025,202502,0,현지인,128744268321.0984,530777639062.7121
00,2025,202503,0,현지인,147336453266.99942,626429310361.0255
00,2025,202504,0,현지인,138776367311.70026,574768799553.9913
00,2025,202505,0,현지인,166141104195.29907,682499027825.2197
00,2025,202506,0,현지인,152829158992.1025,627701647584.4618
00,2025,202507,0,현지인,150575595012.79846,600598599380.6256
00,2025,202508,0,현지인,144028217625.6963,579720562369.2574
00,2025,202509,0,현지인,143537886607.8017,591325388750.7848
00,2025,202510,0,현지인,164331614135.99832,699759630862.8284
00,2025,202511,0,현지인,171019639724.0,731979342290.0
00,2025,202512,0,현지인,178075593436.0,763750297131.0
00,2025,202501,1,외지인,4065931885719.342,12265510941635.023
00,2025,202502,1,외지인,3687496813632.548,10767263432772.742
00,2025,202503,1,외지인,4293678406709.0073,12637791849591.344
00,2025,202504,1,외지인,4093161107792.8027,12048957557393.305
00,2025,202505,1,외지인,4631117936617.732,13643477681444.441
00,2025,202506,1,외지인,4151221057911.664,12161463268892.56
00,2025,202507,1,외지인,4460342965197.55,12871693391564.105
00,2025,202508,1,외지인,4537308054870.348,13343439144030.266
00,2025,202509,1,외지인,4120549387128.957,12242182429405.084
00,2025,202510,1,외지인,4546681645648.424,13922320417570.959
00,2025,202511,1,외지인,4421092344516.0,13465571484298.0
00,2025,202512,1,외지인,4698329870249.0,13715471769469.0
00,2025,202501,2,외국인,216353035290.1109,650820540309.0461
00,2025,202502,2,외국인,209191048343.6004,616295419942.6664
00,2025,202503,2,외국인,316299708787.6008,925775473334.8135
00,2025,202504,2,외국인,364790676003.8965,1096316822767.4556
00,2025,202505,2,외국인,347912826227.9016,1022206037864.4309
00,2025,202506,2,외국인,334358084121.9994,988729939265.9681
00,2025,202507,2,외국인,321747198921.90515,951965091300.9839
00,2025,202508,2,외국인,335331387290.7982,960476855693.9021
00,2025,202509,2,외국인,357056573812.1067,1046544386216.9729
00,2025,202510,2,외국인,373583492019.1024,1120454484083.6064
00,2025,202511,2,외국인,391199215400.6915,1189305955175.8276
00,2025,202512,2,외국인,378154583457.3967,1169280172913.525
