시군,체험문화_2024,체험문화_2026,방문_2026,①체험문화_변화율,②평균숙박일수,③저녁전환율,④야간방문비중,①체험문화_변화율_문제백분위,②평균숙박일수_문제백분위,③저녁전환율_문제백분위,④야간방문비중_문제백분위,진단점수,순위,유형,순위_P10,순위_P90,상위20_비율
가평군,350.32402777650066,442.86980491091657,17548496.0,0.2641719373969351,2.9116666666666666,0.5356730536145403,0.09975672956668971,13.888888888888884,89.93055555555556,38.888888888888886,33.333333333333336,44.010416666666664,93,평균숙박일수,39,120,0.018
아산시,374.31917656254586,315.9892043290473,27943423.0,-0.15582950563515163,3.689166666666667,0.5468407555104012,0.09907048607950474,83.33333333333334,24.65277777777778,31.25,34.72222222222222,43.489583333333336,94,체험문화,46,118,0.0
하남시,383.9970908010517,335.8986748117863,39366559.0,-0.1252572405924427,3.8083333333333336,0.5757526267901258,0.08817838166589202,77.08333333333334,16.319444444444443,17.361111111111114,61.80555555555556,43.142361111111114,95,체험문화,48,125,0.0
고창군,262.5658281734345,300.6896253643825,6246870.0,0.1451971014513198,3.9066666666666667,0.4708813385569198,0.08895072252318638,20.833333333333336,10.416666666666663,80.55555555555556,59.02777777777778,42.708333333333336,96,저녁전환율,53,131,0.0
동해시,239.52818281515636,243.50761203695282,8882248.0,0.01661361588029653,3.065,0.5497486489975658,0.11025376899646636,41.666666666666664,83.33333333333334,30.555555555555557,14.583333333333337,42.53472222222222,97,평균숙박일수,49,119,0.0
남양주시,308.0901684680292,298.7318736776136,48290063.0,-0.030375181515689187,3.6041666666666665,0.553845582677847,0.09203906623417595,52.77777777777778,37.5,27.77777777777778,50.0,42.013888888888886,98,-,77,107,0.0
충주시,310.15105173213357,295.2329154494003,20089071.0,-0.04809958308836404,3.481666666666667,0.561792967880514,0.10550063464167155,59.72222222222222,61.111111111111114,24.305555555555557,21.52777777777778,41.66666666666667,99,-,64,112,0.0
사천시,422.2289435677788,504.8392624785042,10036860.0,0.19565290387882728,3.655,0.4996307895805609,0.09010683224030254,17.361111111111114,30.90277777777778,61.80555555555556,56.25,41.579861111111114,100,-,66,120,0.0
구리시,204.46402213954073,201.0054601897693,31948157.0,-0.016915259289045248,3.5141666666666667,0.5995006155889838,0.09130877843854968,48.611111111111114,54.861111111111114,7.638888888888884,53.47222222222222,41.145833333333336,101,-,69,120,0.0
봉화군,25.0693534893495,42.73478174572881,3012862.0,0.7046622986860958,3.7100000000000004,0.4564355392387935,0.09116644446580867,3.472222222222221,22.916666666666664,84.02777777777779,54.16666666666667,41.145833333333336,101,저녁전환율,53,136,0.0
화천군,182.2007430055561,175.92377363019534,2899574.0,-0.03445084400764131,3.901666666666667,0.54320879158875,0.08746528364576724,54.861111111111114,11.111111111111116,34.02777777777778,63.888888888888886,40.97222222222222,103,-,62,128,0.0
무안군,195.39596978677878,192.18025519481017,11200698.0,-0.0164574253782086,3.7183333333333333,0.5341264114175356,0.09202529146990118,47.916666666666664,22.22222222222222,42.361111111111114,50.69444444444444,40.798611111111114,104,-,78,118,0.0
안성시,238.21504179561674,279.59911819068407,24918766.0,0.1737257063329105,3.654166666666667,0.5409582250454924,0.08468101620681859,18.75,32.638888888888886,35.416666666666664,69.44444444444444,39.0625,105,-,65,124,0.0
정선군,930.7727139744638,875.2553303023412,6697697.0,-0.05964655263158669,3.061666666666667,0.5934881155854679,0.13300153572342693,62.5,84.02777777777779,9.722222222222221,0.0,39.0625,105,평균숙박일수,48,133,0.001
