R:기초단체,R:광역단체,R:기준연월,C:숙박일수,C:방문자유형별,V:관광객수,V:숙박자수,V:숙박체류시간
고양시 덕양구,경기도,202608,5박,외지인(b),6134.0,3.05,4632921.33
고양시 덕양구,경기도,202608,6박,외국인(c),52.0,3.48,30647.55
고양시 덕양구,경기도,202608,6박,외지인(b),3806.0,3.05,3906293.59
고양시 덕양구,경기도,202608,7박이상,외국인(c),173.0,3.48,186507.16
고양시 덕양구,경기도,202608,7박이상,외지인(b),17776.0,3.05,33100796.64
고양시 덕양구,경기도,202608,무박,외국인(c),38448.0,0.0,77700.38
고양시 덕양구,경기도,202608,무박,외지인(b),4686266.0,0.0,11663953.2
고양시 일산동구,경기도,202608,1박,외국인(c),1099.0,3.32,32159.49
고양시 일산동구,경기도,202608,1박,외지인(b),124080.0,3.06,7247943.12
고양시 일산동구,경기도,202608,2박,외국인(c),489.0,3.32,20916.58
고양시 일산동구,경기도,202608,2박,외지인(b),29822.0,3.06,3014335.13
고양시 일산동구,경기도,202608,3박,외국인(c),277.0,3.32,37830.36
고양시 일산동구,경기도,202608,3박,외지인(b),14140.0,3.06,3897026.71
고양시 일산동구,경기도,202608,4박,외국인(c),210.0,3.32,52688.99
고양시 일산동구,경기도,202608,4박,외지인(b),8566.0,3.06,4298692.57
고양시 일산동구,경기도,202608,5박,외국인(c),80.0,3.32,34287.89
고양시 일산동구,경기도,202608,5박,외지인(b),5384.0,3.06,3940487.59
고양시 일산동구,경기도,202608,6박,외국인(c),58.0,3.32,39809.66
고양시 일산동구,경기도,202608,6박,외지인(b),3399.0,3.06,3512041.3
고양시 일산동구,경기도,202608,7박이상,외국인(c),134.0,3.32,173083.7
고양시 일산동구,경기도,202608,7박이상,외지인(b),15100.0,3.06,27091474.86
고양시 일산동구,경기도,202608,무박,외국인(c),9552.0,0.0,44594.43
고양시 일산동구,경기도,202608,무박,외지인(b),3876818.0,0.0,9666028.7
고양시 일산서구,경기도,202608,1박,외국인(c),1531.0,3.1,33406.58
고양시 일산서구,경기도,202608,1박,외지인(b),102141.0,2.97,5927097.65
고양시 일산서구,경기도,202608,2박,외국인(c),657.0,3.1,23419.87
고양시 일산서구,경기도,202608,2박,외지인(b),25453.0,2.97,2520081.48
고양시 일산서구,경기도,202608,3박,외국인(c),320.0,3.1,36012.18
고양시 일산서구,경기도,202608,3박,외지인(b),11006.0,2.97,2867242.82
고양시 일산서구,경기도,202608,4박,외국인(c),193.0,3.1,38132.06
고양시 일산서구,경기도,202608,4박,외지인(b),6016.0,2.97,2811586.09
고양시 일산서구,경기도,202608,5박,외국인(c),88.0,3.1,35018.45
고양시 일산서구,경기도,202608,5박,외지인(b),3628.0,2.97,2665177.61
고양시 일산서구,경기도,202608,6박,외국인(c),64.0,3.1,34538.42
고양시 일산서구,경기도,202608,6박,외지인(b),2540.0,2.97,2629077.29
고양시 일산서구,경기도,202608,7박이상,외국인(c),120.0,3.1,137221.74
고양시 일산서구,경기도,202608,7박이상,외지인(b),10770.0,2.97,18903864.12
고양시 일산서구,경기도,202608,무박,외국인(c),24257.0,0.0,108713.83
고양시 일산서구,경기도,202608,무박,외지인(b),3187628.0,0.0,7396641.89
